title,game_name,game_alias,game_image_url,game_web_link,review_score,profile_dev,profile_platforms,release_world,main_story,main_extra,completionist,all_styles,
"the last story","The Last Story","","https://howlongtobeat.com/games/Last_Story_Box_Art.jpg","https://howlongtobeat.com/game/10001","81","Mistwalker, AQ Interactive","['Emulated', 'Wii', 'Wii U']","2011","21.44","25.79","39.2","24.87",
"curiosity in 5 weeks!",,,,,,,,,,,,,
"project p-100",,,,,,,,,,,,,
"human element",,,,,,,,,,,,,
"on the rain-slick precipice series",,,,,,,,,,,,,
"squids","Squids","","https://howlongtobeat.com/games/1832709-squids_002_large.jpg","https://howlongtobeat.com/game/9015","70","The Game Bakers","['']","2011","4.0","0.0","0.0","4.0",
"heavenly sword","Heavenly Sword","","https://howlongtobeat.com/games/250px-HS.PS3.jpg","https://howlongtobeat.com/game/4370","68","Ninja Theory","['PlayStation 3', 'PlayStation Now']","2007","6.91","7.79","13.87","7.09",
"blendo games",,,,,,,,,,,,,
"haunting ground","Haunting Ground","Demento","https://howlongtobeat.com/games/250px-HauntingGround_NA_PS2cover.jpg","https://howlongtobeat.com/game/4355","75","Capcom","['PlayStation 2']","2005","8.79","9.12","11.17","9.0",
"eternal darkness","Eternal Darkness: Sanity's Requiem","","https://howlongtobeat.com/games/250px-Eternal_Darkness_box.jpg","https://howlongtobeat.com/game/3179","80","Silicon Knights","['Nintendo GameCube']","2002","13.3","15.47","29.82","14.97",
"7th guest,phantasm",,,,,,,,,,,,,
"shadowgate","Shadowgate","","https://howlongtobeat.com/games/Shadowgate(2014)_292x136.jpg","https://howlongtobeat.com/game/20745","65","Zojoi","['Nintendo Switch', 'PC', 'PlayStation 4', 'Xbox One']","2014","4.6","8.61","18.33","5.8",
